ticket_id,ticket_label,ticket_description,category,priority,status,software,clinic_service,created_at,created_by,updated_by,assigned_to,suggested_category,redundancy_type,master_ticket,final_priority_score
TIC-0969,Supply chain database exposed via unencrypted open network port.,The backend server is accepting plain text queries from anyone on the guest network. Close the firewall port.,Security,Critical,In Progress,StockPort,Stock,2026-03-01 09:00:00,User_023,IT_User_08,IT_User_08,,,,1000
TIC-0929,Unsecured tablet left unlocked in the family waiting room.,"A physician abandoned a device logged into the electronic health records, exposing incredibly sensitive intensive care data publicly.",Security,High,Open,TabSecure,ICU,2026-02-28 23:00:00,User_055,IT_User_08,IT_User_08,,,,1000
TIC-0953,Ward playroom smart television locked on an adult channel.,"The parental control software failed, and the remote control is unresponsive. We unplugged the television to protect children.",Security,High,Open,PlayTV,Pediatrics,2026-03-01 05:00:00,User_093,IT_User_05,IT_User_05,,Similarité Sémantique,TIC-0953,1000
TIC-0964,Kitchen inventory database locked by an unauthorized remote user.,Someone accessed the dietary supply system and changed the administrator password. We cannot order food for tomorrow entirely.,Security,Critical,In Progress,DietLock,Kitchen,2026-03-01 07:45:00,User_014,IT_User_07,IT_User_07,,,,1000
TIC-0959,Hospital directory touchscreen kiosk infected with a cryptocurrency miner.,The machine is running extremely hot and slow because a malicious script hijacked the processor over the internet.,Security,High,In Progress,DirKiosk,Reception,2026-03-01 06:30:00,User_076,IT_User_08,IT_User_08,,,,1000
TIC-0915,Unencrypted surgical schedule found circulating on the guest wifi.,A network misconfiguration is broadcasting the daily operation list to the public waiting room routers. Fix immediately.,Security,Critical,In Progress,SurgiNet,Surgery,2026-02-28 19:30:00,User_076,IT_User_02,IT_User_02,,,,1000
TIC-0435,A suspicious keylogger program was discovered running on the main admissions computer.,"The antivirus caught it, but we don't know how long it was recording patient social security numbers. Isolate this terminal and dispatch the security team immediately.",Security,Critical,Open,WinDefender,Admissions,2026-02-23 19:30:00,User_049,IT_User_02,IT_User_02,,,,1000
TIC-0458,Visitor management system webcam is totally failing to capture any visitor photos.,"The USB camera is completely dead. We cannot print photo ID badges for guests, which violates our building security policy. Please deliver a new webcam unit.",Support,Medium,Open,VisCam,Reception,2026-02-24 01:15:00,User_019,IT_User_06,IT_User_06,Security,Similarité Sémantique,TIC-0458,1000
TIC-0454,Toy playroom interactive smart display is showing inappropriate advertisements from the internet.,The content filter has completely failed. The screen intended for cartoons is displaying adult-targeted web ads. Unplug the screen and fix the firewall rules right now.,Security,High,Open,SmartPlay,Pediatrics,2026-02-24 00:15:00,User_034,IT_User_07,IT_User_07,,,,1000
TIC-1713,Echocardiogram digital archiving server vulnerable to SQL injection attacks.,"Hi team, the search bar on the web portal allows arbitrary code execution. Please sanitize the database query inputs.",Security,Critical,Open,EchoArch,Cardiology,2026-03-10 13:45:00,User_012,IT_User_08,IT_User_08,,Doublon Exact,TIC-1713,1000
TIC-1738,Demographic database allows unauthorized digital exports of patient lists.,"Hi IT, any standard user can download the entire hospital registry. We must restrict digital data exporting immediately please.",Security,Critical,Resolved,DemogExport,Admissions,2026-03-10 20:00:00,User_067,IT_User_05,IT_User_05,,Doublon Exact,TIC-1738,1000
TIC-1753,Oncology electronic prescribing gateway fails SSL certificate validation check.,"Hi team, the secure sockets layer is expired. Browsers are blocking the digital transmission of highly sensitive cancer prescriptions.",Security,Critical,Resolved,OncoSSL,Oncology,2026-03-10 23:45:00,User_042,IT_User_06,IT_User_06,,Doublon Exact,TIC-1753,1000
TIC-0940,Lab technician shared password found written on a whiteboard.,"Staff are bypassing individual logins to speed up testing, completely ruining the mandatory digital audit trail for results.",Security,Medium,Open,PassShare,Lab,2026-03-01 01:45:00,User_027,IT_User_10,IT_User_10,,,,1000
TIC-0934,Front desk check in kiosk infected with adware malware.,The touch screen is displaying unauthorized internet popups over the registration software. We must wipe this machine immediately.,Security,High,In Progress,KioskAV,Admissions,2026-03-01 00:15:00,User_082,IT_User_07,IT_User_07,,,,1000
TIC-0979,Physiotherapy scheduling database vulnerable to basic SQL injection attacks.,A simple quote mark in the search bar exposes the entire patient appointment list. Patch the web portal.,Security,High,In Progress,PhysioSQL,Physiotherapy,2026-03-01 11:30:00,User_049,IT_User_08,IT_User_08,,Similarité Sémantique,TIC-0979,1000
TIC-0975,Parking validation web portal lacks secure HTTPS encryption protocols.,Patient payment data is being transmitted in plain text across the internet. Force SSL certificates on the server.,Security,High,Open,ParkWeb,Car park,2026-03-01 10:30:00,User_093,IT_User_02,IT_User_02,,Similarité Sémantique,TIC-0975,1000
TIC-1003,Unencrypted cardiac telemetry data intercepted on the guest network.,Live heartbeat streams are visible to anyone in the waiting room. Reconfigure the virtual local area network separation.,Security,Critical,Open,TeleNet,Cardiology,2026-03-01 17:30:00,User_088,IT_User_01,IT_User_01,,,,1000
TIC-0994,Autopsy report database allows unauthenticated access from the lobby.,A severe firewall misconfiguration exposed the highly sensitive web portal to the public guest wireless network. Block it.,Security,Critical,In Progress,AutopsyDB,Pathology,2026-03-01 15:15:00,User_071,IT_User_07,IT_User_07,,Similarité Sémantique,TIC-0994,1000
TIC-1017,Pharmacy inventory database firewall allows unauthorized external port scanning.,Intrusion detection flagged multiple attempts to breach our controlled substance records from an unknown overseas internet protocol address.,Security,Critical,Open,PharmWall,Pharmacy,2026-03-01 21:00:00,User_099,IT_User_09,IT_User_09,,,,1000
TIC-0897,Dialysis central water purification system vulnerable to remote network access.,The interface panel is exposed to the local network without a password. Anyone could alter the water mix.,Security,Critical,Open,WaterAccess,Dialysis,2026-02-28 15:00:00,User_093,IT_User_09,IT_User_09,,,,1000
